"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Rodions Kurucs","1,690,000","2,107,059"
"2018/19 ","Kyle Kuzma","1,689,840","2,106,859"
"2018/19 ","Tony Bradley","1,679,520","2,093,992"
"2018/19 ","Derrick White","1,667,160","2,078,582"
"2018/19 ","Kyle Singler","1,665,333","2,076,304"
"2018/19 ","Robert Williams","1,656,600","2,065,416"
"2018/19 ","MarShon Brooks","1,656,092","2,064,783"
"2018/19 ","Spencer Dinwiddie","1,656,092","2,064,783"
"2018/19 ","Josh Hart","1,655,160","2,063,621"
"2018/19 ","Jacob Evans","1,646,400","2,052,699"
"2018/19 ","Pat Connaughton","1,641,000","2,045,966"
"2018/19 ","DeAndre Bembry","1,634,640","2,038,037"
"2018/19 ","Dzanan Musa","1,634,400","2,037,738"
"2018/19 ","Omari Spellman","1,622,520","2,022,926"
"2018/19 ","James Ennis","1,621,415","2,021,548"
"2018/19 ","Noah Vonleh","1,621,415","2,021,548"
"2018/19 ","Luke Kornet","1,619,260","2,018,861"
"2018/19 ","Richaun Holmes","1,600,520","1,995,497"
"2018/19 ","TJ McConnell","1,600,520","1,995,497"
"2018/19 ","Malachi Richardson","1,569,360","1,956,647"
"2018/19 ","Jahlil Okafor","1,567,007","1,953,713"
"2018/19 ","Kevon Looney","1,567,007","1,953,713"
"2018/19 ","Pascal Siakam","1,544,951","1,926,214"
"2018/19 ","Dejounte Murray","1,544,951","1,926,214"
"2018/19 ","Jake Layman","1,544,951","1,926,214"
"2018/19 ","Skal Labissiere","1,544,951","1,926,214"
"2018/19 ","Cheick Diallo","1,544,951","1,926,214"
"2018/19 ","Malcolm Brogdon","1,544,951","1,926,214"
"2018/19 ","Rodney McGruder","1,544,951","1,926,214"
"2018/19 ","Ivica Zubac","1,544,951","1,926,214"
"2018/19 ","Wade Baldwin","1,544,951","1,926,214"
"2018/19 ","Quinn Cook","1,544,951","1,926,214"
"2018/19 ","Damian Jones","1,544,951","1,926,214"
"2018/19 ","Dorian Finney-Smith","1,544,951","1,926,214"
"2018/19 ","Wayne Selden","1,544,951","1,926,214"
"2018/19 ","Georges Niang","1,512,601","1,885,881"
"2018/19 ","Christian Wood","1,512,601","1,885,881"
"2018/19 ","Derrick Jones","1,512,601","1,885,881"
"2018/19 ","Gerald Green","1,512,601","1,885,881"
"2018/19 ","David Nwaba","1,512,601","1,885,881"
"2018/19 ","Treveon Graham","1,512,601","1,885,881"
"2018/19 ","Willy Hernangomez","1,496,500","1,865,807"
"2018/19 ","Sviatoslav Mykhailiuk","1,487,694","1,854,828"
"2018/19 ","Mitchell Robinson","1,485,440","1,852,017"
"2018/19 ","Michael Carter-Williams","1,468,082","1,830,375"
"2018/19 ","Jawun Evans","1,455,492","1,814,678"
"2018/19 ","Thomas Bryant","1,378,242","1,718,365"
"2018/19 ","Royce O'Neale","1,378,242","1,718,365"
"2018/19 ","Frank Mason","1,378,242","1,718,365"
"2018/19 ","Khem Birch","1,378,242","1,718,365"
"2018/19 ","Wesley Iwundu","1,378,242","1,718,365"
"2018/19 ","Abdel Nader","1,378,242","1,718,365"
"2018/19 ","Damyean Dotson","1,378,242","1,718,365"
"2018/19 ","Frank Jackson","1,378,242","1,718,365"
"2018/19 ","Sterling Brown","1,378,242","1,718,365"
"2018/19 ","Tyler Dorsey","1,378,242","1,718,365"
"2018/19 ","Ivan Rabb","1,378,242","1,718,365"
"2018/19 ","Dillon Brooks","1,378,242","1,718,365"
"2018/19 ","Rade Zagorac","1,378,242","1,718,365"
"2018/19 ","Sindarius Thornwell","1,378,242","1,718,365"
"2018/19 ","Zhou Qi","1,378,242","1,718,365"
"2018/19 ","Jordan Bell","1,378,242","1,718,365"
"2018/19 ","Maxi Kleber","1,378,242","1,718,365"
"2018/19 ","Dwayne Bacon","1,378,242","1,718,365"
"2018/19 ","Daniel Theis","1,378,242","1,718,365"
"2018/19 ","Semi Ojeleye","1,378,242","1,718,365"
"2018/19 ","Tyrone Wallace","1,349,383","1,682,384"
"2018/19 ","Ike Anigbogu","1,349,383","1,682,384"
"2018/19 ","Alfonzo McKinnie","1,349,383","1,682,384"
"2018/19 ","Monte Morris","1,349,383","1,682,384"
"2018/19 ","Ryan Arcidiacono","1,349,383","1,682,384"
"2018/19 ","Antonio Blakeney","1,349,383","1,682,384"
"2018/19 ","Jabari Bird","1,349,383","1,682,384"
"2018/19 ","Daniel Hamilton","1,349,383","1,682,384"
"2018/19 ","Shaquille Harrison","1,325,531","1,652,646"
"2018/19 ","Elie Okobo","1,238,464","1,544,092"
"2018/19 ","Jalen Brunson","1,230,000","1,533,540"
"2018/19 ","Melvin Frazier","1,050,000","1,309,119"
"2018/19 ","Raymond Spalding","1,023,210","1,275,717"
"2018/19 ","Justin Hamilton","1,000,000","1,246,780"
"2018/19 ","Isaac Bonga","1,000,000","1,246,780"
"2018/19 ","Devonte Graham","988.46","1,232,397"
"2018/19 ","Chasson Randle","975.82","1,216,638"
"2018/19 ","Patrick McCaw","964.1","1,202,025"
"2018/19 ","De'Anthony Melton","949","1,183,194"
"2018/19 ","Jason Thompson","893.33","1,113,790"
"2018/19 ","Chimezie Metu","838.46","1,045,380"
"2018/19 ","Gary Trent Jr","838.46","1,045,380"
