Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
443.0,Georgios Kalaitzakis,23.0,OKC,SF,4.0,4.0,166.0,9.4,0.536,0.393,0.375,1.2,6.9,4.0,11.4,2.9,0.6,19.7,21.1,-0.2,0.2,-0.1,-0.028,-4.9,-1.9,-6.8,-0.2,,kalaige01,2021,Georgios Kalaitzakis,1630686.0
454.0,Greg Monroe,31.0,MIN,C,4.0,0.0,81.0,18.9,0.578,0.0,0.318,7.8,24.4,15.9,28.1,2.3,7.1,21.8,16.6,0.1,0.1,0.3,0.149,-0.3,4.8,4.5,0.1,,monrogr01,2021,Greg Monroe,202328.0
455.0,Mamadi Diakite,25.0,OKC,PF,13.0,3.0,188.0,11.6,0.54,0.106,0.234,9.2,23.3,16.1,1.6,1.3,4.5,11.9,13.5,0.1,0.3,0.3,0.08,-5.9,0.9,-5.0,-0.1,,diakima01,2021,Mamadi Diakite,1629603.0
461.0,Markus Howard,22.0,DEN,SG,31.0,0.0,176.0,16.1,0.567,0.693,0.228,1.3,6.1,3.8,6.2,2.5,0.0,5.9,29.4,0.1,0.2,0.3,0.082,0.8,-2.0,-1.2,0.0,,howarma02,2021,Markus Howard,1630210.0
462.0,Vlatko Čančar,24.0,DEN,PF,15.0,1.0,176.0,12.7,0.657,0.293,0.341,5.2,14.1,9.8,13.2,0.6,1.5,16.0,14.0,0.3,0.1,0.4,0.114,-0.9,-0.9,-1.7,0.0,,cancavl01,2021,,
464.0,Zavier Simpson,24.0,OKC,PG,4.0,4.0,174.0,7.7,0.406,0.154,0.096,1.2,11.4,6.2,25.2,1.4,2.1,15.6,15.9,-0.2,0.1,-0.1,-0.018,-6.0,-1.9,-7.9,-0.3,,simpsza01,2021,Zavier Simpson,1630285.0
471.0,Sam Hauser,24.0,BOS,SF,26.0,0.0,158.0,14.8,0.65,0.88,0.0,3.5,16.0,9.9,9.1,0.3,1.2,3.8,14.5,0.4,0.2,0.6,0.171,2.7,-0.3,2.3,0.2,,hausesa01,2021,Sam Hauser,1630573.0
472.0,Paul Watson,27.0,OKC,SF,9.0,3.0,156.0,5.7,0.432,0.743,0.057,1.9,16.1,8.9,7.2,0.9,1.8,10.0,11.0,-0.1,0.1,0.0,0.001,-4.8,-0.6,-5.4,-0.1,,watsopa01,2021,Paul Watson,1628778.0
474.0,Bruno Fernando,23.0,BOS,C,20.0,0.0,58.0,12.6,0.586,0.071,0.357,13.4,14.6,14.0,9.6,0.0,4.7,23.6,16.1,0.0,0.1,0.1,0.102,-3.2,0.4,-2.8,0.0,,fernabr01,2021,Bruno Fernando,1628981.0
488.0,Melvin Frazier,25.0,OKC,SG,3.0,0.0,120.0,-0.4,0.313,0.438,0.146,4.2,7.0,5.6,1.2,0.4,0.0,5.5,19.5,-0.4,0.0,-0.4,-0.16,-9.7,-6.7,-16.4,-0.4,,frazime01,2021,,
490.0,Jabari Parker,26.0,BOS,PF,12.0,0.0,112.0,14.8,0.632,0.421,0.237,5.0,21.7,13.5,7.9,1.8,0.8,16.0,19.6,0.1,0.2,0.3,0.141,-0.3,1.1,0.7,0.1,,parkeja01,2021,Jabari Parker,203953.0
